trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9843201517785072}",20,0,-109.66228837456657,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9688861611972633}",25,7,-97.15614362611863,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.9536941732457854}",20,0,-100.54544986815014,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9387403933595694}",30,15,-56.547994604925805,"{0: 7, 1: 4, 2: 3, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9240210864723069}",30,0,-134.29206699954864,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9095325760829622}",20,0,-96.11518208585758,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.895271243337478}",25,0,-142.43448710490088,"{0: 12, 1: 5, 2: 3, 3: 5, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8812335261248792}",20,0,-10.89965587084077,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.8674159181875502}",25,16,-26.171335348393306,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.8538149682454624}",30,19,-46.45506885540952,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.8404272791341348}",25,0,-107.74381384895186,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8272495069561094}",20,0,-88.52022327713273,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8142783602457329}",35,11,-113.32189635820258,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.8015105991470337}",25,0,-65.1011158120512,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.7889430346044904}",35,0,-162.78440517261228,"{0: 25, 1: 0, 2: 7, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.7765725275664881}",20,6,11.165496159666697,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.7643959882012644}",20,0,-43.693525178763096,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.7524103751251506}",30,0,-95.51246706523908,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.7406126946429117}",30,3,-68.37485247480429,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 2}",1
20,False,"{'a': 0.5, 'e': 0.7290000000000001}",20,0,-85.7500275229362,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.7175693906465318}",20,0,-46.38661854472557,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.706318011512805}",20,0,-96.86395120029846,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.6952430522961777}",25,15,-72.45724685523487,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.6843417467591262}",20,0,-145.27940364551367,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.6736113720383118}",25,0,-47.81104887898153,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.6630492479644795}",20,0,-154.6832025105618,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.6526527363930215}",25,7,-106.42296834543563,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
28,False,"{'a': 0.5, 'e': 0.642419240545037}",25,0,-80.38377658805236,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.6323462043587241}",20,0,-98.1584095470764,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.6224311118509421}",20,12,-3.6811223617268896,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.6126714864887844}",25,0,-44.04417851713146,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.6030648905710039}",25,17,-42.78994866244272,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.5936089246191393}",20,10,-19.374117061909374,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.5843012267781876}",25,0,-97.02946318008989,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.5751394722266736}",25,0,-91.0454064568863,"{0: 19, 1: 1, 2: 1, 3: 3, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.5661213725959698}",20,13,3.115824995900124,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.5572446753987218}",30,15,-6.207741218912988,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.5485071634662348}",35,0,-44.67458685796834,"{0: 28, 1: 2, 2: 3, 3: 2, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.5399066543946827}",30,18,-25.130543318939242,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.531441}",20,7,-2.0063102308809446,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
