trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.17128881273241,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.707335397275315,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-168.36298058492702,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-60.73117489352498,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.33900319023988,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-128.9219967731563,"{0: 17, 1: 1, 2: 10, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.25164768616807,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.56206116331571,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.24013649914747,"{0: 18, 1: 4, 2: 0, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-200.34371165072696,"{0: 17, 1: 4, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-44.03774459538308,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,3,-22.999166739529542,"{0: 12, 1: 4, 2: 0, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-218.34703534941426,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.50830172602082,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.76529474517605,"{0: 17, 1: 2, 2: 9, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.96577454576128,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.51822979881695,"{0: 9, 1: 6, 2: 2, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.93392693363994,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-204.89358726679623,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.26451834524178,"{0: 11, 1: 1, 2: 13, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-58.081342950467366,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-250.40467755943516,"{0: 18, 1: 2, 2: 2, 3: 4, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-122.31439932051116,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.06999747019796,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,10,-101.53170178223024,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-145.40893687171564,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-133.1240669994188,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.71373937065856,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",35,0,-72.27039381449073,"{0: 24, 1: 3, 2: 7, 3: 1, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-129.6968662614409,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
